"","mean","0.025quant","0.975quant"
"r1",3.20384600238449,1.94457008929525,5.39014886154575
"r2",3.56374241521677,2.15595494393985,6.0216259579374
"r3",2.87674577252186,1.7204686404911,4.87635876197711
"r4",3.64858307946823,2.12699244511435,6.76154675987649
"r5",3.59626959403928,2.11803677244059,6.61529728103564
"r11",3.43929251629425,1.95075354140456,5.80209021406971
"r21",4.28201822055492,2.3682542835294,7.4708495601197
"r31",3.43122952401656,1.78724007246159,5.96259809451399
"r41",5.05034124393255,2.53963048417863,9.80499326212731
"r51",4.33116661314524,2.28728937737397,8.11679271309687
